81   4.2423e+00   1.0816e-01   1.0606e-01
289   3.7298e+00   2.7604e-02   2.5901e-02
625   3.5763e+00   1.2407e-02   1.1462e-02
1089   3.5022e+00   7.0239e-03   6.4379e-03
